Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Infraspecific rank,Infraspecific name,Infraspecific authority,Stock/subpopulation,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned
918,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Alouatta,ululata,"Elliot, 1912",,,,,"","Maranhão Red-handed Howler Monkey, Red-handed Howling Monkey, Maranhão Red-handed Howler",,Guariba-de-mãos-vermelhas,EN,C1,3.1,2008,decreasing,N
941,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,DIPSADIDAE,Alsophis,rijgersmaei,"Cope, 1869",,,,,Alsophis rijersmai,"Anguilla Racer, Leeward Island Racer",,,EN,B1ab(iii),3.1,2016,decreasing,N
176330,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,DIPSADIDAE,Alsophis,sanctonum,"Barbour, 1915",,,,,Alsophis antillensis subspecies sanctonum,Terre-De-Haut Racer,,,EN,B1ab(iii),3.1,2010,unknown,N
136648,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Alticola,olchonensis,"Litvinov, 1960",,,,,Alticola baicalensis  ,"Olkhon Mountain Vole, Lake Baikal Mountain Vole",,,EN,B1ab(iii),3.1,2016,unknown,N
54460,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Altiphrynoides,malcolmi,"(Grandison, 1978)",,,,,Nectophrynoides malcolmi,"Malcolm's Ethiopia Toad, Ethiopian Mountain Toad",,,EN,"B1ab(iii,v)",3.1,2013,decreasing,N
22687562,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Amazilia,boucardi,"(Mulsant, 1877)",,,,,"",Mangrove Hummingbird,,Amazilia de Manglar,EN,"B1ab(i,ii,iii,iv,v)",3.1,2016,decreasing,N
22687614,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Amazilia,castaneiventris,"Gould, 1856",,,,,"",Chestnut-bellied Hummingbird,,Amazilia Ventricastaña,EN,B1ab(iii),3.1,2016,decreasing,N
22687529,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Amazilia,luciae,"(Lawrence, 1867)",,,,,"",Honduran Emerald,,"Amazilia Hondureña, Esmeralda Hondurena",EN,"B1ab(i,ii,iii,v);C2a(i)",3.1,2016,decreasing,N
22731595,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Amazona,diadema,"(Spix, 1824)",,,,,"",Diademed Amazon,,,EN,A4cd,3.1,2016,decreasing,N
22686268,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Amazona,finschi,"(Sclater, 1864)",,,,,"","Lilac-crowned Amazon, Lilac-crowned Parrot",,"Amazona Guayabera, Cotorra Frente Roja, Loro Corona-violeta",EN,A2cd+3cd+4cd,3.1,2016,decreasing,N
22686411,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Amazona,imperialis,"Richmond, 1899",,,,,"","Imperial Amazon, Imperial Parrot",,Amazona Imperial,EN,D,3.1,2016,increasing,N
22728296,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Amazona,lilacina,"Lesson, 1844",,,,,"",Lilacine Amazon,,,EN,C2a(i),3.1,2016,decreasing,N
22686337,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Amazona,oratrix,"Ridgway, 1887",,,,,"","Yellow-headed Amazon, Yellow-headed Parrot",,Loro Cabeciamarillo,EN,A2bcd+4bcd,3.1,2016,decreasing,N
22686288,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Amazona,rhodocorytha,"(Salvadori, 1890)",,,,,"","Red-browed Amazon, Red-topped Parrot, Red-topped Amazon, Red-browed Parrot",,"Amazona Coronirroja, Amazona Crestirroja",EN,"B1ab(i,ii,iii,v)",3.1,2016,decreasing,N
22686374,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Amazona,vinacea,"(Kuhl, 1820)",,,,,"","Vinaceous-breasted Amazon, Vinaceous-breasted Parrot, Vinaceous Parrot, Vinaceous Amazon",,"Amazona Pechivinosa, Amazona Vinosa, Loro Pechivinoso, Loro Pecho Vinoso",EN,C2a(i),3.1,2016,decreasing,N
22686259,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Amazona,viridigenalis,"(Cassin, 1853)",,,,,"","Red-crowned Amazon, Red-crowned Parrot, Green-cheeked Amazon",,"Amapola, Amazona Tamaulipeca, Loro Cabeza Roja, Loro Famaulipeco",EN,A2bcd+3bcd+4bcd,3.1,2016,decreasing,N
168271,ANIMALIA,CHORDATA,ACTINOPTERYGII,SILURIFORMES,AMBLYCIPITIDAE,Amblyceps,arunchalensis,"Nath & Dey, 1989",,,,,"",,,,EN,B1ab(iii),3.1,2010,unknown,N
60469196,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CIRRHITIDAE,Amblycirrhitus,earnshawi,"Lubbock, 1978",,,,,"",,,,EN,B2ab(iii),3.1,2015,unknown,N
62007,ANIMALIA,CHORDATA,MAMMALIA,AFROSORICIDA,CHRYSOCHLORIDAE,Amblysomus,marleyi,"Roberts, 1931",,,,,"",Marley's Golden Mole,,,EN,"B1ab(ii,iii,v)+2ab(ii,iii,v)",3.1,2015,unknown,N
59049,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,AMBYSTOMATIDAE,Ambystoma,altamirani,"(Dugès, 1895)",,,,,Amblystoma altamirani|Ambystoma  zempoalaense|Rhyacosiredon  altamirani|Rhyacosiredon  zempoalaensis ,Mountain Stream Siredon,,Ajolote,EN,"A2ace; B1ab(iii,v)+2ab(iii,v)",3.1,2008,decreasing,N
59056,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,AMBYSTOMATIDAE,Ambystoma,flavipiperatum,"Dixon, 1963",,,,,"",Yellow-peppered Salamander,,Ajolote de Chapala,EN,B1ab(iii)+2ab(iii),3.1,2016,decreasing,N
1093,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,AMBYSTOMATIDAE,Ambystoma,lermaense,"(Taylor, 1940)",,,,,Siredon lermaensis,Lake Lerma Salamander,,Ajolote,EN,"B1ab(iii,v)+2ab(iii,v)",3.1,2015,decreasing,N
